source_id,model,category,token_count,score,output_chars,duration_s
b05bd40ee63cec42,gemma4:latest,PubMed,4371,0.8,3064,56.4474
b2393b52ce6c4f8c,gemma4:latest,BookSum,1088,0.2,1982,45.264
b30452d4d37551ea,gemma4:latest,GovReport,12597,0.4,4216,74.7379
b466b772db978b61,gemma4:latest,Siphon,18747,0.6,3902,103.2971
b48156ea8c0a4912,gemma4:latest,BookSum,8825,0.6,3487,71.7723
b785ceb18735e949,gemma4:latest,Siphon,98760,0.0,818,74.4658
b86d814dda4f6836,gemma4:latest,PubMed,5952,0.6,3687,69.5275
b898e8d9b0706765,gemma4:latest,Siphon,127810,0.4,1246,0.2129
b8b9dbaa58b0b2a2,gemma4:latest,BookSum,4534,0.8,2961,64.7279
b8cc52d287397cd3,gemma4:latest,Siphon,106318,0.4,1010,0.2471
ba0d577246b2d4e1,gemma4:latest,Siphon,65365,0.0,3305,76.2448
bb615c74b0b0f8ea,gemma4:latest,ArXiv,5254,0.4,3446,50.8731
c54798a03a2a8160,gemma4:latest,ArXiv,1981,0.8,2636,49.3744
c56aa1a34ae3b03b,gemma4:latest,Siphon,1371,0.8,2922,49.578
c6d5ba1bd4e6319a,gemma4:latest,BillSum,2895,0.6,2215,57.3237
c708a2c263b5ce96,gemma4:latest,BookSum,1559,0.6,1434,48.8385
cb13abc0e602e1d3,gemma4:latest,GovReport,21072,0.6,3580,99.3822
ccc99455d2136ced,gemma4:latest,ArXiv,8917,0.6,3238,69.4146
cd376d7b05c16119,gemma4:latest,Siphon,581,0.8,1672,28.0763
cfa11d9c3a649e71,gemma4:latest,GovReport,14582,0.6,4962,98.6999
d23c2d186a448d72,gemma4:latest,Siphon,670,0.8,2298,0.6819
d30a50ac7d29dab1,gemma4:latest,PubMed,2929,0.8,3143,55.8081
d3a6d35adba1a4f7,gemma4:latest,PubMed,6032,0.8,3714,63.6289
d4bf61f86b7f43f9,gemma4:latest,Siphon,1126,1.0,1990,44.3007
d52a472083d5483b,gemma4:latest,Siphon,126332,0.0,1049,0.3191
d6147259174b6314,gemma4:latest,Siphon,126203,0.0,1252,0.2191
d6cb3396f5d47c1a,gemma4:latest,Siphon,1547,0.8,2970,48.9109
d87419496c631609,gemma4:latest,PubMed,8507,0.8,3607,63.0112
d8d4ee7faa03eca8,gemma4:latest,BookSum,10040,0.4,2346,76.583
d8dc63cb1255ae10,gemma4:latest,BookSum,32533,0.0,3974,101.1426
d8f52fc0bab5592e,gemma4:latest,Siphon,49184,0.0,2132,74.9738
e0747c2debe92a1d,gemma4:latest,Siphon,146639,0.0,1419,0.3696
e40961f17f905e12,gemma4:latest,Siphon,52267,0.0,457,73.1836
e6229fb9d86212a3,gemma4:latest,BillSum,1114,0.8,2184,44.3881
e7744ce952e46afc,gemma4:latest,BookSum,5719,0.4,1836,60.2265
e80f301231c03eb5,gemma4:latest,Siphon,30263,0.0,1316,99.0447
e930ca525bacc27f,gemma4:latest,BookSum,6902,0.4,2400,63.7353
ebc73fb557352fdf,gemma4:latest,PubMed,1098,0.8,1780,42.0202
ed08ed79e283306c,gemma4:latest,PubMed,3115,0.6,2764,59.5362
edfbc4f45d53acc0,gemma4:latest,Siphon,69035,0.0,2481,70.5413
ef8cb732719a31a9,gemma4:latest,BookSum,18627,0.4,3834,104.8322
f01bd980db82a7ea,gemma4:latest,BillSum,1233,0.6,1964,48.9297
f126b14810f9588c,gemma4:latest,GovReport,20834,0.6,5467,103.5001
f17331f2a61055fb,gemma4:latest,BookSum,11679,0.6,2995,77.3872
f29cfabfdec0ce2e,gemma4:latest,Siphon,667,0.6,2522,18.5762
f4561f0f5f4d07aa,gemma4:latest,GovReport,13581,0.8,4419,82.169
f5eb6367c29e5566,gemma4:latest,BookSum,649,0.4,1255,0.6675
f620043b541185e7,gemma4:latest,Siphon,503,0.8,3046,34.0373
f692fb9c8035587d,gemma4:latest,BookSum,11752,0.2,2128,74.4745
f6af448f2b101fbd,gemma4:latest,Siphon,58992,0.2,4221,70.6572
f73caa8624fffbaf,gemma4:latest,Siphon,179632,0.0,888,0.4761
f83d5bff2570c20c,gemma4:latest,BookSum,1205,0.6,1929,45.4604
f85c663e53990930,gemma4:latest,Siphon,57521,0.0,2188,62.1193
f9ca7b14f88913dc,gemma4:latest,GovReport,9655,0.8,3583,59.8835
fa6fa9360b97a854,gemma4:latest,Siphon,129213,0.2,939,0.4309
fb5832b1c605abbe,gemma4:latest,WikiHow,1265,1.0,2982,51.5307
fbd31af291bee2c4,gemma4:latest,Siphon,27652,0.4,4346,99.7315
fc951608c7a4ae12,gemma4:latest,BookSum,2911,0.6,2469,58.0677
fc9b9631d8a881a0,gemma4:latest,BookSum,944,0.6,1418,44.0934
fd864b64a6209418,gemma4:latest,Siphon,19339,0.6,4575,103.0944
02a36eeaf4de3fed,gpt-oss:latest,BookSum,41697,0.0,108,1.2753
