source_id,oneshot_model,map_model,category,token_count,score,output_chars,duration_s
b86d814dda4f6836,gemma4:latest,gpt-oss:latest,PubMed,5952,0.6,3687,0.4691
8477a4927f2e98ba,gemma4:latest,gpt-oss:latest,ArXiv,6438,0.8,2740,0.3929
e930ca525bacc27f,gemma4:latest,gpt-oss:latest,BookSum,6902,0.4,2400,0.3852
4d0a20e2088f2902,gemma4:latest,gpt-oss:latest,BookSum,5517,0.6,2486,0.5177
140a70ee3e93ba11,gemma4:latest,gpt-oss:latest,BookSum,6612,0.2,2715,0.5219
d3a6d35adba1a4f7,gemma4:latest,gpt-oss:latest,PubMed,6032,0.8,3714,0.7022
e7744ce952e46afc,gemma4:latest,gpt-oss:latest,BookSum,5719,0.4,1836,0.4771
5b9a72563d14a2e3,gemma4:latest,gpt-oss:latest,GovReport,7237,0.8,3609,0.6927
8ebc4c9e210a22f8,gemma4:latest,gpt-oss:latest,ArXiv,7576,0.4,4017,0.6984
f9ca7b14f88913dc,gemma4:latest,gpt-oss:latest,GovReport,9655,0.8,3583,0.8056
d87419496c631609,gemma4:latest,gpt-oss:latest,PubMed,8507,0.8,3607,0.754
2efb01a28bf80931,gemma4:latest,gpt-oss:latest,BookSum,8482,0.4,1688,0.7557
75bebcdea7ad2b84,gemma4:latest,gpt-oss:latest,ArXiv,7906,0.6,3339,0.6799
76bd73e58e51bdcc,gemma4:latest,gpt-oss:latest,GovReport,9346,0.8,4562,0.4877
ccc99455d2136ced,gemma4:latest,gpt-oss:latest,ArXiv,8917,0.6,3238,0.4341
08837ee9084057e5,gemma4:latest,gpt-oss:latest,BookSum,7788,0.6,2589,0.4397
2301c8025d4cfc55,gemma4:latest,gpt-oss:latest,BookSum,7811,0.6,2245,0.7559
b48156ea8c0a4912,gemma4:latest,gpt-oss:latest,BookSum,8825,0.6,3487,0.7578
423c4ea171279761,gemma4:latest,gpt-oss:latest,GovReport,10255,0.8,4134,0.7571
658b4bf748124550,gemma4:latest,gpt-oss:latest,GovReport,12846,0.4,3585,0.7696
b30452d4d37551ea,gemma4:latest,gpt-oss:latest,GovReport,12597,0.4,4216,0.6878
0bd12d25e7d6913f,gemma4:latest,gpt-oss:latest,GovReport,10463,0.8,4101,0.7163
adeafd1c9f56022c,gemma4:latest,gpt-oss:latest,BookSum,12955,0.4,3357,0.6646
d8d4ee7faa03eca8,gemma4:latest,gpt-oss:latest,BookSum,10040,0.4,2346,0.719
f692fb9c8035587d,gemma4:latest,gpt-oss:latest,BookSum,11752,0.2,2128,0.717
f17331f2a61055fb,gemma4:latest,gpt-oss:latest,BookSum,11679,0.6,2995,0.693
58f88770f6aded5c,gemma4:latest,gpt-oss:latest,ArXiv,12078,0.6,3626,0.7935
3cb7d5d442bca0be,gemma4:latest,gpt-oss:latest,ArXiv,10264,0.8,3179,0.7296
445be14601e8bbb4,gemma4:latest,gpt-oss:latest,GovReport,16710,0.6,4739,0.7702
f4561f0f5f4d07aa,gemma4:latest,gpt-oss:latest,GovReport,13581,0.8,4419,0.8265
aebfaeb53a59f2d0,gemma4:latest,gpt-oss:latest,BookSum,15063,0.4,3888,0.7371
49347fa7f3dd4982,gemma4:latest,gpt-oss:latest,PubMed,16726,0.8,3768,0.7426
986285ce2700d8a6,gemma4:latest,gpt-oss:latest,GovReport,17503,0.6,4033,0.8679
3052d859aa2275aa,gemma4:latest,gpt-oss:latest,GovReport,14575,0.8,3977,0.8098
07096bbe6a1a7e2b,gemma4:latest,gpt-oss:latest,GovReport,14090,0.6,4149,0.6942
a3d9bc4c3eeee68c,gemma4:latest,gpt-oss:latest,GovReport,14996,0.8,4833,0.792
cfa11d9c3a649e71,gemma4:latest,gpt-oss:latest,GovReport,14582,0.6,4962,1.1189
373a4663b87fc0f2,gemma4:latest,gpt-oss:latest,ArXiv,14191,0.6,3019,1.0258
fd864b64a6209418,gemma4:latest,gpt-oss:latest,Siphon,19339,0.6,4575,1.0976
6e7bce3c71a5a346,gemma4:latest,gpt-oss:latest,ArXiv,24226,0.6,4039,1.0635
ef8cb732719a31a9,gemma4:latest,gpt-oss:latest,BookSum,18627,0.4,3834,0.9715
4eb2e0c8ddd332bf,gemma4:latest,gpt-oss:latest,GovReport,19830,0.6,3845,1.0668
cb13abc0e602e1d3,gemma4:latest,gpt-oss:latest,GovReport,21072,0.6,3580,0.9738
f126b14810f9588c,gemma4:latest,gpt-oss:latest,GovReport,20834,0.6,5467,1.1022
77e0b26d6be488ca,gemma4:latest,gpt-oss:latest,Siphon,24443,0.8,5224,0.8836
4c6632acb49850d6,gemma4:latest,gpt-oss:latest,GovReport,20455,0.8,4215,0.9135
b466b772db978b61,gemma4:latest,gpt-oss:latest,Siphon,18747,0.6,3902,0.8107
7a1e007350f59527,gemma4:latest,gpt-oss:latest,GovReport,21443,0.8,5412,1.1579
e80f301231c03eb5,gemma4:latest,gpt-oss:latest,Siphon,30263,0.0,1316,1.0476
ad1d0c2c3f760339,gemma4:latest,gpt-oss:latest,BookSum,26010,0.4,2299,1.1517
a7550552c0395edf,gemma4:latest,gpt-oss:latest,Siphon,25372,0.6,5121,1.1235
2b7f09404acf6db7,gemma4:latest,gpt-oss:latest,GovReport,26243,0.6,4287,1.1691
d8dc63cb1255ae10,gemma4:latest,gpt-oss:latest,BookSum,32533,0.0,3974,1.1371
fbd31af291bee2c4,gemma4:latest,gpt-oss:latest,Siphon,27652,0.4,4346,0.9259
5a4ad8682359eb86,gemma4:latest,gpt-oss:latest,ArXiv,28080,0.4,3613,0.5917
903381274ce57bd1,gemma4:latest,gpt-oss:latest,Siphon,29985,0.4,4637,1.0434
3e7889d6260c53ba,gemma4:latest,gpt-oss:latest,Siphon,26861,0.6,4421,0.6139
6109b5c8544db89e,gemma4:latest,gpt-oss:latest,Siphon,32597,0.0,2418,0.6211
92e98ba798830108,gemma4:latest,gpt-oss:latest,Siphon,33377,0.0,4029,1.0439
3345ef955c76a87d,gemma4:latest,gpt-oss:latest,BookSum,37118,0.0,1068,1.0816
7888c4134cc98bc6,gemma4:latest,gpt-oss:latest,Siphon,39089,0.0,4312,1.6157
02a36eeaf4de3fed,gemma4:latest,gpt-oss:latest,BookSum,41697,0.0,3427,1.6518
109dcc0cca5141f1,gemma4:latest,gpt-oss:latest,Siphon,37266,0.2,2301,1.7001
1387e59928e190df,gemma4:latest,gpt-oss:latest,Siphon,34576,0.2,4371,1.4848
ad9e46ff443202ed,gemma4:latest,gpt-oss:latest,Siphon,39521,0.2,3841,1.1139
2fdb74a46e6c6164,gemma4:latest,gpt-oss:latest,Siphon,38983,0.2,2834,1.5009
5a7fae1db3eaf41d,gemma4:latest,gpt-oss:latest,BookSum,40582,0.0,2789,1.3234
7d5ecffbf9fc8378,gemma4:latest,gpt-oss:latest,ArXiv,39665,0.2,873,1.5105
e40961f17f905e12,gemma4:latest,gpt-oss:latest,Siphon,52267,0.0,457,0.9006
d8f52fc0bab5592e,gemma4:latest,gpt-oss:latest,Siphon,49184,0.0,2132,0.8766
2c17d50233c19bfe,gemma4:latest,gpt-oss:latest,Siphon,49489,0.2,2000,1.3977
6f49de98e931e84b,gemma4:latest,gpt-oss:latest,Siphon,59724,0.0,824,1.2624
f6af448f2b101fbd,gemma4:latest,gpt-oss:latest,Siphon,58992,0.2,4221,2.0992
a2a1bf0800e76a45,gemma4:latest,gpt-oss:latest,Siphon,49594,0.2,1103,1.746
