import time: self [us] | cumulative | imported package
import time:        65 |         65 |               requests.hooks
import time:       259 |        259 |               requests.status_codes
import time:       259 |       1801 |             requests.models
import time:        66 |         66 |               urllib3.contrib
import time:        60 |         60 |               socks
import time:       131 |        256 |             urllib3.contrib.socks
import time:       178 |       2383 |           requests.adapters
import time:       173 |       2556 |         requests.sessions
import time:        90 |       2645 |       requests.api
import time:       172 |      24300 |     requests
import time:       907 |      25270 |   dbclients.discovery.host
import time:       168 |        168 |   netrc
import time:    121132 |     146745 | dbclients.clients.postgres
import time:        75 |         75 |     conduit.domain.conversation
import time:      1437 |       1511 |   conduit.domain.conversation.conversation
import time:      1474 |       2984 | conduit.storage.repository.postgres_repository
import time:       203 |        203 |     psycopg2.errors
import time:      4473 |       4675 |   psycopg2._psycopg
import time:       117 |        117 |     psycopg2._json
import time:       564 |        564 |     psycopg2._range
import time:       336 |       1017 |   psycopg2.extensions
import time:       215 |       5906 | psycopg2
import time:       311 |        311 | click._textwrap
