import time: self [us] | cumulative | imported package
import time:       274 |        742 |               charset_normalizer.md
import time:       223 |        223 |               charset_normalizer.models
import time:       146 |       2679 |             charset_normalizer.cd
import time:       174 |       2852 |           charset_normalizer.api
import time:        73 |         73 |           charset_normalizer.legacy
import time:        45 |         45 |           charset_normalizer.version
import time:        53 |         53 |           simplejson
import time:       106 |        106 |                 urllib.response
import time:       130 |        236 |               urllib.error
import time:      1019 |       1255 |             urllib.request
import time:      1664 |       2918 |           http.cookiejar
import time:       690 |        690 |           http.cookies
import time:       271 |       6900 |         requests.compat
import time:       354 |       7253 |       requests.exceptions
import time:        68 |         68 |       chardet
import time:       654 |        654 |             idna.idnadata
import time:        92 |         92 |             idna.intranges
import time:       415 |       1160 |           idna.core
import time:        59 |         59 |           idna.package_data
import time:        97 |       1315 |         idna
import time:       314 |       1629 |       requests.packages
import time:        78 |         78 |             certifi.core
import time:        73 |        150 |           certifi
import time:        49 |        199 |         requests.certs
import time:        43 |         43 |         requests.__version__
import time:       195 |        195 |         requests._internal_utils
import time:       216 |        216 |         requests.cookies
import time:       107 |        107 |         requests.structures
import time:        46 |         46 |             importlib.resources._itertools
import time:       184 |        230 |           importlib.resources.readers
import time:        61 |        290 |         importlib.readers
import time:       461 |       1507 |       requests.utils
import time:       144 |        144 |             requests.auth
import time:       181 |        181 |                 stringprep
import time:       168 |        349 |               encodings.idna
import time:        57 |         57 |               requests.hooks
import time:       254 |        254 |               requests.status_codes
import time:       253 |        911 |             requests.models
import time:       144 |        144 |               urllib3.contrib
import time:        54 |         54 |               socks
import time:       132 |        329 |             urllib3.contrib.socks
import time:       181 |       1563 |           requests.adapters
import time:       259 |       1822 |         requests.sessions
import time:        83 |       1904 |       requests.api
import time:       175 |      24209 |     requests
import time:       959 |      25224 |   dbclients.discovery.host
import time:       170 |        170 |   netrc
import time:    116246 |     141847 | dbclients.clients.postgres
import time:       244 |        244 |     psycopg2.errors
import time:      4726 |       4970 |   psycopg2._psycopg
import time:       116 |        116 |     psycopg2._json
import time:       586 |        586 |     psycopg2._range
import time:       375 |       1076 |   psycopg2.extensions
import time:       406 |       6452 | psycopg2
import time:       317 |        317 | click._textwrap
