strategy,model,config_id,source_id,category,token_count,score,output_chars,duration_s
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,ccc99455d2136ced,ArXiv,8917,0.4,1042,16.8433
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,aebfaeb53a59f2d0,BookSum,15063,0.4,1300,31.9946
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,373a4663b87fc0f2,ArXiv,14191,0.6,2171,20.615
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,f4561f0f5f4d07aa,GovReport,13581,0.6,1890,18.8691
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,445be14601e8bbb4,GovReport,16710,0.6,2361,31.9214
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,49347fa7f3dd4982,PubMed,16726,0.6,1797,27.1956
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,1be319f52bc7794b,Siphon,84011,0.2,2845,94.8582
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,4c6632acb49850d6,GovReport,20455,0.6,2784,26.8522
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,f126b14810f9588c,GovReport,20834,0.4,2875,30.7808
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,7a1e007350f59527,GovReport,21443,0.6,2169,27.8819
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,816693302331e005,BookSum,60629,0.4,1939,73.4771
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,1b30c02dad523501,Siphon,69552,0.2,3702,64.2548
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,e0747c2debe92a1d,Siphon,146639,0.2,2339,192.6823
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,502437db373383b9,Siphon,87610,0.4,3388,92.0184
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,6530c89657cfb4df,Siphon,76775,0.4,3569,80.3338
MapDedupeReduceSummarizer,gemma4:latest,a776c38c,c3aea7ad81394c57,Siphon,166923,0.4,2511,209.8332
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,0b6450551fc145bd,Siphon,57258,0.2,2886,32.944
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,02e63a2f2fc247d0,Siphon,61720,0.4,3975,36.6028
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,02fad2c24aa64146,Siphon,57614,0.2,2781,24.5565
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,02a36eeaf4de3fed,BookSum,41697,0.0,2979,20.1769
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,0a040ce02baea0c0,Siphon,797,0.8,2048,0.1288
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,0fb47e118eaf9c6d,Siphon,145511,0.0,1770,55.6172
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,07096bbe6a1a7e2b,GovReport,14090,0.6,4070,8.6291
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,090c12c71a57eea9,Siphon,896,0.8,2050,0.0972
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,0bd12d25e7d6913f,GovReport,10463,0.8,4101,0.0946
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,08837ee9084057e5,BookSum,7788,0.4,2167,0.1148
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,2301c8025d4cfc55,BookSum,7811,0.6,2337,0.1459
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,46717a20176e4cbf,BillSum,1763,0.8,2336,0.1269
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,49c4153a2663c281,Siphon,181458,0.4,1954,45.1089
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,4c8e024fce3fc5d9,WikiHow,678,0.8,1741,0.1074
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,502437db373383b9,Siphon,87610,0.0,3646,39.8203
HierarchicalTreeSummarizer,gemma4:latest,a776c38c,49347fa7f3dd4982,PubMed,16726,0.6,4038,8.3029
