source_id,token_count,score
90a1b78cc415388d,3265,0.6
8a994897a17d8633,940,0.4
903381274ce57bd1,29985,0.2
8ec0931590a4871d,5138,0.6
82eae29747e859c5,3448,0.4
927fdd5d68a13c76,5158,0.6
8ebc4c9e210a22f8,7576,0.6
913fc11397eea3bc,665,0.8
92e98ba798830108,33377,0.2
986285ce2700d8a6,17503,0.8
91f9bca1699c6c26,4361,0.6
9abd149f6b150fc0,782,0.6
a2a1bf0800e76a45,49594,0.2
9c3549642901c7e1,2324,0.6
947e4610d64a8916,1194,0.8
a3d9bc4c3eeee68c,14996,0.6
ad1d0c2c3f760339,26010,0.2
9d01de1c463b0fbb,2132,0.4
a96d9a6d1362e443,1572,0.6
a7550552c0395edf,25372,0.4
a91421549f5624aa,1877,0.8
a5bea2c6a345eb2b,2021,0.8
b05bd40ee63cec42,4371,0.8
aebfaeb53a59f2d0,15063,0.4
ad9e46ff443202ed,39521,0.4
b785ceb18735e949,98760,0.2
b48156ea8c0a4912,8825,0.6
a77d7de7a45d464b,5323,0.4
b30452d4d37551ea,12597,0.4
adeafd1c9f56022c,12955,0.4
ba0d577246b2d4e1,65365,0.2
b466b772db978b61,18747,0.6
b86d814dda4f6836,5952,0.6
c54798a03a2a8160,1981,0.8
c56aa1a34ae3b03b,1371,1.0
c6d5ba1bd4e6319a,2895,0.6
b8b9dbaa58b0b2a2,4534,0.8
ccc99455d2136ced,8917,0.6
cb13abc0e602e1d3,21072,0.4
b2393b52ce6c4f8c,1088,0.6
d4bf61f86b7f43f9,1126,0.8
cfa11d9c3a649e71,14582,0.6
d3a6d35adba1a4f7,6032,0.6
d8dc63cb1255ae10,32533,0.0
d6cb3396f5d47c1a,1547,0.8
d30a50ac7d29dab1,2929,0.8
cd376d7b05c16119,581,0.8
c708a2c263b5ce96,1559,0.6
e40961f17f905e12,52267,0.0
d23c2d186a448d72,670,0.6
e80f301231c03eb5,30263,0.2
ed08ed79e283306c,3115,0.8
edfbc4f45d53acc0,69035,0.4
f126b14810f9588c,20834,0.4
f6af448f2b101fbd,58992,0.2
f620043b541185e7,503,0.8
f5eb6367c29e5566,649,0.6
f85c663e53990930,57521,0.4
f692fb9c8035587d,11752,0.2
f29cfabfdec0ce2e,667,0.4
93b1efb9b0190a90,1521,0.8
aa56b83051de4c93,739,0.8
bb615c74b0b0f8ea,5254,0.4
d8f52fc0bab5592e,49184,0.2
d87419496c631609,8507,0.8
d8d4ee7faa03eca8,10040,0.6
e7744ce952e46afc,5719,0.6
f01bd980db82a7ea,1233,0.8
e6229fb9d86212a3,1114,0.8
ef8cb732719a31a9,18627,0.4
ebc73fb557352fdf,1098,0.6
e930ca525bacc27f,6902,0.4
f17331f2a61055fb,11679,0.4
f4561f0f5f4d07aa,13581,0.4
f83d5bff2570c20c,1205,0.8
f9ca7b14f88913dc,9655,0.4
fd864b64a6209418,19339,0.2
fc9b9631d8a881a0,944,0.8
fbd31af291bee2c4,27652,0.4
fb5832b1c605abbe,1265,0.6
fc951608c7a4ae12,2911,0.8
